,fsq_id,categories,chains,distance,link,name,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.formatted_address,location.locality,location.postcode,location.region,location.neighborhood,timezone,location.cross_street,location.address_extended
2,822e8ed2ad1542aec2176202,Residential Building,[],264,/v3/places/822e8ed2ad1542aec2176202,Daymark Realty Ltd,43.726631,-79.318703,43.726631,-79.318703,2 Swift Dr,CA,"2 Swift Dr, North York ON M4A 2A2",North York,M4A 2A2,ON,East York,,,# 103
3,abf098cb719a4353b97811e1,"Real Estate Service,Residential Building",[],284,/v3/places/abf098cb719a4353b97811e1,Eccleston Terraces,43.727749,-79.31799,43.727749,-79.31799,48 Eccleston Dr,CA,"48 Eccleston Dr, Toronto ON M4A 1K7",Toronto,M4A 1K7,ON,,,,
4,8106ff26e8f64e8381ac580f,Residential Building,[],334,/v3/places/8106ff26e8f64e8381ac580f,Eccleswift Apartments Inc,43.727323,-79.319234,43.727323,-79.319234,56 Eccleston Dr,CA,"56 Eccleston Dr, North York ON M4A 1K9",North York,M4A 1K9,ON,East York,,,
5,58ea9ffec76c40ac31154320,"Property Management Office,Real Estate Agency,Residential Building",[],346,/v3/places/58ea9ffec76c40ac31154320,Paradise Condominium,43.726098,-79.311268,43.726098,-79.311268,1720 Eglinton Ave E,CA,"1720 Eglinton Ave E, North York ON M4A 2X8",North York,M4A 2X8,ON,East York,,,
6,2e05f81f4e994f9b64c5fa5f,"Property Management Office,Real Estate Agency,Residential Building",[],436,/v3/places/2e05f81f4e994f9b64c5fa5f,Soleil Condominiums,43.725786,-79.310142,43.725786,-79.310142,1730 Eglinton Ave E,CA,"1730 Eglinton Ave E, North York ON M4A 2X9",North York,M4A 2X9,ON,East York,,,
0,53198235498ed12bc09b7b56,"Real Estate Service,Residential Building",[],482,/v3/places/53198235498ed12bc09b7b56,Dr. 155 Antibes,43.781985,-79.445832,43.781985,-79.445832,155 Antibes Dr,CA,"155 Antibes Dr (at Drewry Ave.), Toronto ON M2R 3G7",Toronto,M2R 3G7,ON,Bathurst Manor,America/Toronto,at Drewry Ave.,# 108
1,1b5df200639d49ca07289f59,"Property Management Office,Residential Building",[],247,/v3/places/1b5df200639d49ca07289f59,Myriad Property Management,43.783909,-79.444875,43.783909,-79.444875,485 Patricia Ave,CA,"485 Patricia Ave, Toronto ON M2R 0A2",Toronto,M2R 0A2,ON,,,,
2,b0a764d9c77a498d36cab34d,Residential Building,[],411,/v3/places/b0a764d9c77a498d36cab34d,W J Realty,43.783223,-79.447344,43.783223,-79.447344,25 Cedarcroft Blvd,CA,"25 Cedarcroft Blvd, North York ON M2R 2Z3",North York,M2R 2Z3,ON,Bathurst Manor,,,
3,0b7395dfd54e43ff6e3545d5,Residential Building,[],411,/v3/places/0b7395dfd54e43ff6e3545d5,Novi Properties,43.783223,-79.447344,43.783223,-79.447344,25 Cedarcroft Blvd,CA,"25 Cedarcroft Blvd, North York ON M2R 2Z3",North York,M2R 2Z3,ON,,,,
4,be97689faa2642db869462f0,"Real Estate Service,Residential Building",[],418,/v3/places/be97689faa2642db869462f0,York Condominium Corp,43.780479,-79.446434,,,135 Antibes Dr,CA,"135 Antibes Dr, North York ON M2R 2Z1",North York,M2R 2Z1,ON,Bathurst Manor,,,
5,6797af29081a4547dae40f0c,"Property Management Office,Residential Building",[],431,/v3/places/6797af29081a4547dae40f0c,York Condominium Corp,43.78057,-79.44673,43.78057,-79.44673,100 Antibes Dr,CA,"100 Antibes Dr, North York ON M2R 3N1",North York,M2R 3N1,ON,Bathurst Manor,,,
0,53198235498ed12bc09b7b56,"Real Estate Service,Residential Building",[],482,/v3/places/53198235498ed12bc09b7b56,Dr. 155 Antibes,43.781985,-79.445832,43.781985,-79.445832,155 Antibes Dr,CA,"155 Antibes Dr (at Drewry Ave.), Toronto ON M2R 3G7",Toronto,M2R 3G7,ON,Bathurst Manor,America/Toronto,at Drewry Ave.,# 108
1,1b5df200639d49ca07289f59,"Property Management Office,Residential Building",[],247,/v3/places/1b5df200639d49ca07289f59,Myriad Property Management,43.783909,-79.444875,43.783909,-79.444875,485 Patricia Ave,CA,"485 Patricia Ave, Toronto ON M2R 0A2",Toronto,M2R 0A2,ON,,,,
2,b0a764d9c77a498d36cab34d,Residential Building,[],411,/v3/places/b0a764d9c77a498d36cab34d,W J Realty,43.783223,-79.447344,43.783223,-79.447344,25 Cedarcroft Blvd,CA,"25 Cedarcroft Blvd, North York ON M2R 2Z3",North York,M2R 2Z3,ON,Bathurst Manor,,,
3,0b7395dfd54e43ff6e3545d5,Residential Building,[],411,/v3/places/0b7395dfd54e43ff6e3545d5,Novi Properties,43.783223,-79.447344,43.783223,-79.447344,25 Cedarcroft Blvd,CA,"25 Cedarcroft Blvd, North York ON M2R 2Z3",North York,M2R 2Z3,ON,,,,
4,be97689faa2642db869462f0,"Real Estate Service,Residential Building",[],418,/v3/places/be97689faa2642db869462f0,York Condominium Corp,43.780479,-79.446434,,,135 Antibes Dr,CA,"135 Antibes Dr, North York ON M2R 2Z1",North York,M2R 2Z1,ON,Bathurst Manor,,,
5,6797af29081a4547dae40f0c,"Property Management Office,Residential Building",[],431,/v3/places/6797af29081a4547dae40f0c,York Condominium Corp,43.78057,-79.44673,43.78057,-79.44673,100 Antibes Dr,CA,"100 Antibes Dr, North York ON M2R 3N1",North York,M2R 3N1,ON,Bathurst Manor,,,
0,8b9d941680da4d878d5c113c,Residential Building,[],163,/v3/places/8b9d941680da4d878d5c113c,Sk Properties & Developments,43.705412,-79.518352,43.705412,-79.518352,26 Joseph St,CA,"26 Joseph St, Toronto ON M9N 2J2",Toronto,M9N 2J2,ON,,,,
1,25c017e380ac4dd403c055f2,"Property Management Office,Real Estate Agency,Residential Building",[],338,/v3/places/25c017e380ac4dd403c055f2,Brookfield Properties Ltd,43.706575,-79.514,43.706575,-79.514,130 King St,CA,"130 King St, York ON M9N 1L5",York,M9N 1L5,ON,Weston,,,
2,8bbf5d6e37c549feec22d492,Residential Building,[],469,/v3/places/8bbf5d6e37c549feec22d492,King Square,43.702749,-79.519418,43.702749,-79.519418,33 King St,CA,"33 King St, York ON M9N 3R7",York,M9N 3R7,ON,Richview,,,
3,0c293edb92124f51ef109e19,Residential Building,[],478,/v3/places/0c293edb92124f51ef109e19,Residence at Weston,43.702683,-79.519547,43.702683,-79.519547,33 King St,CA,"33 King St, York ON M9N 3R7",York,M9N 3R7,ON,,,,
